Date,Exercise Day,Exercise,Type of Exercise,Weight (lbs),Reps,Order of Exercise,Muscle Group,Notes,Specific Muscle
2024-04-04,Push,Incline bench,Compound,115,6,1,Chest,,Pectoral
2024-04-04,Push,Incline bench,Compound,115,6,2,Chest,,Pectoral
2024-04-04,Push,OHP,Compound,75,8,3,Shoulders,,Shoulders
2024-04-04,Push,OHP,Compound,75,9,4,Shoulders,,Shoulders
2024-04-04,Push,Chest Press,Isolation,20,11,5,Chest,,Pectoral
2024-04-04,Push,Chest Press,Isolation,20,13,6,Chest,,Pectoral
2024-04-04,Push,Triceps,Isolation,47.5,14,7,Arms,,Triceps
2024-04-04,Push,Triceps,Isolation,47.5,14,8,Arms,,Triceps
2024-04-05,Legs,Squat,Compound,155,8,1,Legs,,Quads
2024-04-05,Legs,Squat,Compound,155,9,2,Legs,,Quads
2024-04-05,Legs,RDL,Compound,145,4,3,Legs,Injury during the set,Hamstrings
2024-04-05,Legs,Leg Extension,Isolation,105,10,4,Legs,,Quads
2024-04-05,Legs,Leg Extension,Isolation,105,12,5,Legs,,Quads
2024-04-05,Legs,Leg Curl,Isolation,60,7,6,Legs,,Hamstrings
2024-04-05,Legs,Leg Curl,Isolation,60,9,7,Legs,,Hamstrings
2024-04-06,Pull,T Bar,Compound,80,13,1,Back,,Upper Back
2024-04-06,Pull,T Bar,Compound,80,11,2,Back,,Upper Back
2024-04-06,Pull,Lat pulldown,Compound,115,10,3,Back,,Lats
2024-04-06,Pull,Lat pulldown,Compound,115,11,4,Back,,Lats
2024-04-06,Pull,Pull up,Compound,-55,8,5,Back,,Lats
2024-04-06,Pull,Pull up,Compound,-55,8,6,Back,,Lats
2024-04-08,Push,Bench Press,Compound,135,5,1,Chest,,Pectoral
2024-04-08,Push,Bench Press,Compound,135,6,2,Chest,,Pectoral
2024-04-08,Push,Incline bench,Compound,115,6,3,Chest,,Pectoral
2024-04-08,Push,Incline bench,Compound,115,6,4,Chest,,Pectoral
2024-04-08,Push,OHP,Compound,75,9,5,Shoulders,,Shoulders
2024-04-08,Push,OHP,Compound,75,9,6,Shoulders,,Shoulders
2024-04-08,Push,Triceps,Isolation,50,12,7,Arms,,Triceps
2024-04-08,Push,Triceps,Isolation,50,13,8,Arms,,Triceps
2024-04-09,Legs,Squat,Compound,155,6,1,Legs,,Quads
2024-04-09,Legs,Squat,Compound,155,6,2,Legs,,Quads
2024-04-09,Legs,RDL,Compound,155,8,3,Legs,,Hamstrings
2024-04-09,Legs,RDL,Compound,155,8,4,Legs,,Hamstrings
2024-04-09,Legs,Decline Sit Up,Isolation,25,10,5,Core,,Lower Abs
2024-04-09,Legs,Decline Sit Up,Isolation,25,10,6,Core,,Lower Abs
2024-04-09,Legs,Leg Extension,Isolation,105,10,7,Legs,,Quads
2024-04-09,Legs,Leg Extension,Isolation,105,12,8,Legs,,Quads
2024-04-09,Legs,Leg Curl,Isolation,60,8,9,Legs,,Hamstrings
2024-04-09,Legs,Leg Curl,Isolation,60,9,10,Legs,,Hamstrings
2024-04-09,Push,Chest Cable Press,Isolation,20,14,11,Chest,,Pectoral
2024-04-09,Push,Chest Cable Press,Isolation,20,14,12,Chest,,Pectoral
2024-04-09,Push,Bench Press,Compound,145,6,13,Chest,,Pectoral
2024-04-09,Push,Bench Press,Compound,145,5,14,Chest,,Pectoral
2024-04-09,Push,OHP,Compound,65,11,15,Shoulders,,Shoulders
2024-04-09,Push,OHP,Compound,75,7,16,Shoulders,,Shoulders
2024-04-09,Push,Triceps,Isolation,50,14,17,Arms,,Triceps
2024-04-09,Push,Triceps,Isolation,50,12,18,Arms,,Triceps
2024-04-11,Pull,T Bar,Compound,85,13,1,Back,,Upper Back
2024-04-11,Pull,T Bar,Compound,85,12,2,Back,,Upper Back
2024-04-11,Pull,Row,Compound,225,11,3,Back,,Upper Back
2024-04-11,Pull,Row,Compound,225,11,4,Back,,Upper Back
2024-04-11,Pull,Lat pulldown,Compound,115,12,5,Back,,Lats
2024-04-11,Pull,Lat pulldown,Compound,115,10,6,Back,,Lats
2024-04-11,Pull,Pull up,Compound,-55,0,7,Back,,Lats
2024-04-11,Pull,Pull up,Compound,-55,0,8,Back,,Lats
2024-04-11,Pull,Biceps,Isolation,45,21,9,Arms,,Biceps
2024-04-11,Pull,Biceps,Isolation,45,21,10,Arms,,Biceps
2024-04-12,Legs,Squat,Compound,155,8,1,Legs,,Quads
2024-04-12,Legs,Squat,Compound,155,8,2,Legs,,Quads
2024-04-12,Legs,RDL,Compound,155,8,3,Legs,,Hamstrings
2024-04-12,Legs,RDL,Compound,155,8,4,Legs,,Hamstrings
2024-04-12,Legs,Decline Sit Up,Isolation,25,14.5,5,Core,,Lower Abs
2024-04-12,Legs,Decline Sit Up,Isolation,25,15,6,Core,,Lower Abs
2024-04-12,Legs,Leg Extension,Isolation,60,12,7,Legs,,Quads
2024-04-12,Legs,Leg Extension,Isolation,60,12,8,Legs,,Quads
2024-04-12,Legs,Leg Curl,Isolation,60,10,9,Legs,,Hamstrings
2024-04-12,Legs,Leg Curl,Isolation,60,10,10,Legs,,Hamstrings
2024-04-14,Pull,T Bar,Compound,85,12,1,Back,,Upper Back
2024-04-14,Pull,T Bar,Compound,85,14,2,Back,,Upper Back
2024-04-14,Pull,Row,Compound,225,12,3,Back,,Upper Back
2024-04-14,Pull,Row,Compound,225,12,4,Back,,Upper Back
2024-04-14,Pull,Lat pulldown,Compound,115,12,5,Back,,Lats
2024-04-14,Pull,Lat pulldown,Compound,115,10,6,Back,,Lats
2024-04-14,Pull,Pull up (lat grip),Compound,-55,8,7,Back,,Lats
2024-04-14,Pull,Pull up,Compound,-45,6,8,Back,,Lats
2024-04-14,Pull,Biceps,Isolation,65,9,9,Arms,,Biceps
2024-04-14,Pull,Biceps,Isolation,65,6,10,Arms,,Biceps
2024-04-14,Pull,Biceps,Isolation,65,6,11,Arms,,Biceps
2024-04-15,Push,Incline bench,Compound,115,7,1,Chest,,Pectoral
2024-04-15,Push,Incline bench,Compound,115,6,2,Chest,,Pectoral
2024-04-15,Push,OHP,Compound,75,9,3,Shoulders,,Shoulders
2024-04-15,Push,OHP,Compound,75,9,4,Shoulders,,Shoulders
2024-04-15,Push,Chest Press,Isolation,25,10,5,Chest,,Pectoral
2024-04-15,Push,Chest Press,Isolation,25,10,6,Chest,,Pectoral
2024-04-15,Push,Triceps,Isolation,50,12,7,Arms,,Triceps
